Lon,Lat,C_LonLatElev,B_LonLatElev,U_LonLatElev
-112.5000000000,78.5000000000,0.0344108295,0.1686491956,0.7969399749
-111.5000000000,78.5000000000,0.0363792566,0.1748534300,0.7887673134
-110.5000000000,78.5000000000,0.0391915584,0.1835151989,0.7772932427
-109.5000000000,78.5000000000,0.0416865496,0.1960362839,0.7622771666
-104.5000000000,78.5000000000,0.0657318925,0.2932743382,0.6409937693
-103.5000000000,78.5000000000,0.0722695864,0.3224843014,0.6052461122
-102.5000000000,78.5000000000,0.0790493790,0.3554870216,0.5654635994
-101.5000000000,78.5000000000,0.0872005313,0.3897431157,0.5230563530
-100.5000000000,78.5000000000,0.0915946227,0.4238229569,0.4845824204
-97.5000000000,78.5000000000,0.0848916844,0.4705489385,0.4445593772
-96.5000000000,78.5000000000,0.0728378038,0.4642241167,0.4629380795
-95.5000000000,78.5000000000,0.0654379015,0.4484720573,0.4860900412
-92.5000000000,78.5000000000,0.0552146193,0.4196406105,0.5251447702
-91.5000000000,78.5000000000,0.0707008487,0.3960528313,0.5332463200
-90.5000000000,78.5000000000,0.0774641453,0.3857786989,0.5367571558
-89.5000000000,78.5000000000,0.0697804315,0.3855475592,0.5446720093
-86.5000000000,78.5000000000,0.0722173063,0.3702162458,0.5575664479
-85.5000000000,78.5000000000,0.0754299164,0.3602791427,0.5642909409
-84.5000000000,78.5000000000,0.0757697167,0.3500131257,0.5742171576
-83.5000000000,78.5000000000,0.0795328584,0.3348468805,0.5856202612
-82.5000000000,78.5000000000,0.0670683928,0.3274011113,0.6055304959
-81.5000000000,78.5000000000,0.0718297188,0.3057325671,0.6224377141
-80.5000000000,78.5000000000,0.0842913208,0.2814466229,0.6342620563
-79.5000000000,78.5000000000,0.1005154786,0.2542896503,0.6451948711
-78.5000000000,78.5000000000,0.0681461403,0.2452043108,0.6866495489
-77.5000000000,78.5000000000,0.0539099607,0.2261492461,0.7199407932
-116.5000000000,77.5000000000,0.0369067437,0.1790212437,0.7840720127
-112.5000000000,77.5000000000,0.0351288335,0.1679772793,0.7968938872
-111.5000000000,77.5000000000,0.0369874066,0.1742256199,0.7887869735
-110.5000000000,77.5000000000,0.0390045717,0.1832578293,0.7777375989
-105.5000000000,77.5000000000,0.0615465894,0.2668940828,0.6715593278
-95.5000000000,77.5000000000,0.0650736179,0.4482125319,0.4867138502
-94.5000000000,77.5000000000,0.0601938079,0.4370569875,0.5027492046
-93.5000000000,77.5000000000,0.0561383547,0.4263143167,0.5175473286
-90.5000000000,77.5000000000,0.0558573398,0.4001560755,0.5439865847
-87.5000000000,77.5000000000,0.0623122555,0.3824377725,0.5552499719
-86.5000000000,77.5000000000,0.0719119438,0.3698986402,0.5581894160
-82.5000000000,77.5000000000,0.0712337940,0.3244477888,0.6043184171
-81.5000000000,77.5000000000,0.0607342141,0.3116446843,0.6276211016
-80.5000000000,77.5000000000,0.0770370124,0.2846337380,0.6383292495
